Region	SubRegion	Lobe
Precentral_L	Precentral	Frontal
Precentral_R	Precentral	Frontal
Frontal_Sup_2_L	Frontal	Frontal
Frontal_Sup_2_R	Frontal	Frontal
Frontal_Mid_2_L	Frontal	Frontal
Frontal_Mid_2_R	Frontal	Frontal
Frontal_Inf_Oper_L	Frontal	Frontal
Frontal_Inf_Oper_R	Frontal	Frontal
Frontal_Inf_Tri_L	Frontal	Frontal
Frontal_Inf_Tri_R	Frontal	Frontal
Frontal_Inf_Orb_2_L	Frontal	Frontal
Frontal_Inf_Orb_2_R	Frontal	Frontal
Rolandic_Oper_L	Rolandic	Frontal
Rolandic_Oper_R	Rolandic	Frontal
Supp_Motor_Area_L	Supp	Frontal
Supp_Motor_Area_R	Supp	Frontal
Olfactory_L	Olfactory	Frontal
Olfactory_R	Olfactory	Frontal
Frontal_Sup_Medial_L	Frontal	Frontal
Frontal_Sup_Medial_R	Frontal	Frontal
Frontal_Med_Orb_L	Frontal	Frontal
Frontal_Med_Orb_R	Frontal	Frontal
Rectus_L	Rectus	Frontal
Rectus_R	Rectus	Frontal
OFCmed_L	OFCmed	Frontal
OFCmed_R	OFCmed	Frontal
OFCant_L	OFCant	Frontal
OFCant_R	OFCant	Frontal
OFCpost_L	OFCpost	Frontal
OFCpost_R	OFCpost	Frontal
OFClat_L	OFClat	Frontal
OFClat_R	OFClat	Frontal
Insula_L	Insula	Insula
Insula_R	Insula	Insula
Cingulate_Ant_L	Cingulate	Occipital
Cingulate_Ant_R	Cingulate	Occipital
Cingulate_Mid_L	Cingulate	Occipital
Cingulate_Mid_R	Cingulate	Occipital
Cingulate_Post_L	Cingulate	Cingulate
Cingulate_Post_R	Cingulate	Cingulate
Hippocampus_L	Hippocampus	Temporal
Hippocampus_R	Hippocampus	Temporal
ParaHippocampal_L	ParaHippocampal	Limbic
ParaHippocampal_R	ParaHippocampal	Limbic
Amygdala_L	Amygdala	Limbic
Amygdala_R	Amygdala	Limbic
Calcarine_L	Calcarine	Occipital
Calcarine_R	Calcarine	Occipital
Cuneus_L	Cuneus	Parietal
Cuneus_R	Cuneus	Parietal
Lingual_L	Lingual	Occipital
Lingual_R	Lingual	Occipital
Occipital_Sup_L	Occipital	Occipital
Occipital_Sup_R	Occipital	Occipital
Occipital_Mid_L	Occipital	Occipital
Occipital_Mid_R	Occipital	Occipital
Occipital_Inf_L	Occipital	Occipital
Occipital_Inf_R	Occipital	Occipital
Fusiform_L	Fusiform	Temporal
Fusiform_R	Fusiform	Temporal
Postcentral_L	Postcentral	Parietal
Postcentral_R	Postcentral	Parietal
Parietal_Sup_L	Parietal	Parietal
Parietal_Sup_R	Parietal	Parietal
Parietal_Inf_L	Parietal	Parietal
Parietal_Inf_R	Parietal	Parietal
SupraMarginal_L	SupraMarginal	Parietal
SupraMarginal_R	SupraMarginal	Parietal
Angular_L	Angular	Temporal
Angular_R	Angular	Temporal
Precuneus_L	Precuneus	Parietal
Precuneus_R	Precuneus	Parietal
Paracentral_Lobule_L	Paracentral	Frontal
Paracentral_Lobule_R	Paracentral	Frontal
Caudate_L	Caudate	BasalGanglia
Caudate_R	Caudate	Basal Ganglia
Putamen_L	Putamen	Basal Ganglia
Putamen_R	Putamen	Putamen
Pallidum_L	Pallidum	Basal Ganglia
Pallidum_R	Pallidum	Basal Ganglia
Thalamus_L	Thalamus	Thalamus
Thalamus_R	Thalamus	Thalamus
Heschl_L	Heschl	Temporal
Heschl_R	Heschl	Temporal
Temporal_Sup_L	Temporal	Temporal
Temporal_Sup_R	Temporal	Temporal
Temporal_Pole_Sup_L	Temporal	Temporal
Temporal_Pole_Sup_R	Temporal	Temporal
Temporal_Mid_L	Temporal	Temporal
Temporal_Mid_R	Temporal	Temporal
Temporal_Pole_Mid_L	Temporal	Temporal
Temporal_Pole_Mid_R	Temporal	Temporal
Temporal_Inf_L	Temporal	Temporal
Temporal_Inf_R	Temporal	Temporal
Cerebelum_Crus1_L	Cerebelum	Cerebellum
Cerebelum_Crus1_R	Cerebelum	Cerebellum
Cerebelum_Crus2_L	Cerebelum	Cerebellum
Cerebelum_Crus2_R	Cerebelum	Cerebellum
Cerebelum_3_L	Cerebelum	Cerebellum
Cerebelum_3_R	Cerebelum	Cerebellum
Cerebelum_4_5_L	Cerebelum	Cerebellum
Cerebelum_4_5_R	Cerebelum	Cerebellum
Cerebelum_6_L	Cerebelum	Cerebellum
Cerebelum_6_R	Cerebelum	Cerebellum
Cerebelum_7b_L	Cerebelum	Cerebellum
Cerebelum_7b_R	Cerebelum	Cerebellum
Cerebelum_8_L	Cerebelum	Cerebellum
Cerebelum_8_R	Cerebelum	Cerebellum
Cerebelum_9_L	Cerebelum	Cerebellum
Cerebelum_9_R	Cerebelum	Cerebellum
Cerebelum_10_L	Cerebelum	Cerebellum
Cerebelum_10_R	Cerebelum	Cerebellum
Vermis_1_2	Vermis	Cerebellum
Vermis_3	Vermis	Cerebellum
Vermis_4_5	Vermis	Cerebellum
Vermis_6	Vermis	Cerebellum
Vermis_7	Vermis	Cerebellum
Vermis_8	Vermis	Cerebellum
Vermis_9	Vermis	Cerebellum
Vermis_10	Vermis	Cerebellum
None	None	None
